page_date,category,title,readings_text,body,prayer,image_path,reading_links_json
2026-01-11,Connect With Community,"11 January : Strong Roots, Strong People","Genesis 20-21, Matthew 10:1-23, Proverbs 3:1-10","When Jesus sent out His disciples, He told them they would face rejection, persecution and hardship. Likewise, as we are being sent out, it will not be a walk in the park. Being deeply rooted in Christ helps us withstand life's storms.

Strong roots make strong people. Just as a tree absorbs water through the roots, we draw from the living water of His Spirit. Our endurance, courage and fruitfulness all flow from abiding in Christ. The deeper we dwell in His truth, the higher we can stand before the world.

So, when pressure comes, don 't be discouraged. L et it drive your roots deeper. You may bend, but you will not break. God will grant you supernatural strength to weather all situations!","Lord Jesus, thank You for calling and sending me into the world as Your disciple. I know the path is not always easy, but I choose to stand firm in You. Help me not to fear the storms but to grow through them and bear fruit for Your glory. Amen.",/static/images/picture2.jpg,"[{""text"": ""Genesis 20"", ""url"": ""https://www.wordproject.org/bibles/kj/01/20.htm""}, {""text"": ""Genesis 21"", ""url"": ""https://www.wordproject.org/bibles/kj/01/21.htm""}, {""text"": ""Matthew 10:1-23"", ""url"": ""https://www.wordproject.org/bibles/kj/40/10.htm""}, {""text"": ""Proverbs 3:1-10"", ""url"": ""https://www.wordproject.org/bibles/kj/20/3.htm""}]"
2026-01-12,Connect With Community,12 January : Partnership With Jesus,"Genesis 22-23, Matthew 10:24-42, Psalm 6","Just like how Jesus sent out the twelve, He extends the same instructions to us to partner with Him in the work of His Kingdom today.

To partner with Jesus is to walk in both His power and His humility. We are to serve others with His heart and trust Him with the outcome. It 's knowing that as we go, He goes with us.

However, Jesus warns that this partnership carries a cost. Not everyone will welcome us. True partnership with Jesus is to share in both His joy and His suffering, His rejection and His reward.

How can you partner with Jesus in your daily life, at home, work or in ministry?","Lord Jesus, thank You for inviting me to share in Your mission and carry Your heart into the world. Teach me to walk in Your power and humility, to serve with love and to trust You with every outcome. Remind me that wherever I go, You are with me. Amen.",/static/images/picture2.jpg,"[{""text"": ""Genesis 22"", ""url"": ""https://www.wordproject.org/bibles/kj/01/22.htm""}, {""text"": ""Genesis 23"", ""url"": ""https://www.wordproject.org/bibles/kj/01/23.htm""}, {""text"": ""Matthew 10:24-42"", ""url"": ""https://www.wordproject.org/bibles/kj/40/10.htm""}, {""text"": ""Psalm 6"", ""url"": ""https://www.wordproject.org/bibles/kj/19/6.htm""}]"
2026-01-13,Connect With Community,13 January : Living Out The Golden Rule,"Genesis 24, Matthew 11, Psalm 7","The Golden Rule carries profound power for our relationships. It calls us to step into another person 's shoes and to treat others with the same respect and grace we desire to be treated. It is more than a moral principle to follow. It reflects the kind of person we are.

We all long to be treated with dignity, patience and kindness. No one wants to be cheated, lied to, or excluded. We all appreciate help in times of need.

Living out the Golden Rule isn't something we can sustain by sheer willpower. It is the result of the Holy Spirit's work in shaping our hearts to love as Jesus loves. Ask the Holy Spirit to help you see people the way God sees them.","Lord Jesus, transform my heart so that I may live out Your love daily. Help me see others through Your eyes and live out the Golden Rule out of love and not out of duty. May my life reflect the grace I've received from You. Amen.",/static/images/picture2.jpg,"[{""text"": ""Genesis 24"", ""url"": ""https://www.wordproject.org/bibles/kj/01/24.htm""}, {""text"": ""Matthew 11"", ""url"": ""https://www.wordproject.org/bibles/kj/40/11.htm""}, {""text"": ""Psalm 7"", ""url"": ""https://www.wordproject.org/bibles/kj/19/7.htm""}]"
2026-01-14,Connect With Community,14 January : Living In Unity,"Genesis 25-26, Matthew 12:1-21, Psalm 8","Unity is not the absence of difference. It is the presence of grace in our differences. Jacob and Esau 's conflict showed how sibling rivalry and jealousy can tear families apart. On the other hand, Isaac chose peace over rivalry in the face of conflict. He trusted that God would make a way for him.

To live in unity is to reflect the heart of Jesus. Unity is not built by agreement alone, but by seeing one another through God's eyes. Believers don't have to be the same or agree on every minor detail. But we must function together as one body and act in love despite our individual differences.

The way we live together in unity becomes a powerful testament to the truth of the gospel and the love of Christ to the watching world.","Heavenly Father, make me an instrument of Your unity. When conflicts arise, teach me to choose p eace and extend mercy. Help me to walk in peace, speak with grace and see others through Your eyes. Amen.",/static/images/picture2.jpg,"[{""text"": ""Genesis 25"", ""url"": ""https://www.wordproject.org/bibles/kj/01/25.htm""}, {""text"": ""Genesis 26"", ""url"": ""https://www.wordproject.org/bibles/kj/01/26.htm""}, {""text"": ""Matthew 12:1-21"", ""url"": ""https://www.wordproject.org/bibles/kj/40/12.htm""}, {""text"": ""Psalm 8"", ""url"": ""https://www.wordproject.org/bibles/kj/19/8.htm""}]"
2026-01-15,Discover Your Destiny,15 January : Honouring God'S Timing,"Genesis 27, Matthew 12:22-50, Psalm 9","Before Jacob and Esau were even born, God had already decreed that the blessing would belong to Jacob. He was already chosen. Instead of waiting for God to fulfil it, Jacob tried to seize it through deception. Although he received the blessing, it came with heartbreak, separation and years of struggle. His impatience and manipulation caused unnecessary pain.

When we don't trust God's timing and take things into our own hands, we complicate what He meant to bless. God's will done in man's way leads to conflict and delay.

Jacob's most significant turning point came years later when he wrestled with God. This time, he didn 't deceive for the sake of a blessing. He depended on God for it. Your destiny unfolds when you stop striving and start trusting.","Heavenly Father, forgive me when I try to rush ahead in my own strength. Teach me to trust in Your timing and walk in integrity. Shape my character as You prepare me for what You've promised. May I receive Your blessing in Your time and Your way. Amen.",/static/images/picture3.jpg,"[{""text"": ""Genesis 27"", ""url"": ""https://www.wordproject.org/bibles/kj/01/27.htm""}, {""text"": ""Matthew 12:22-50"", ""url"": ""https://www.wordproject.org/bibles/kj/40/12.htm""}, {""text"": ""Psalm 9"", ""url"": ""https://www.wordproject.org/bibles/kj/19/9.htm""}]"
2026-01-16,Discover Your Destiny,16 January : God Redeems The Rejects,"Genesis 28-29, Matthew 13:1-29, Psalm 10","Rejection is one of life 's deepest wounds. We feel rejected when others label us based on our past, mistakes or what we lack. When Jacob deceived his father and fled, everyone saw a liar and a fugitive. But God didn 't see him through the lens of condemnation. People may judge us based on our past, but God sees us for who we can become. God's ca lling upon your life cannot be cancelled by men's rejection of you.

To the outcast, unloved, oppressed, overlooked an d those with a shameful or sinful past-Jesus sees you. He hears you and He redeems you. Grace rewrites your stories. Your past failures do not limit your future.

You don't have to fix everything by yourself. God meets you in the middle of your brokenness. May your past become a powerful testimony of His grace.","Lord Jesus, thank You that my past does not define my future. Call me into the fullness of Your purpose. Help me to follow You with all my heart and unfold my future step by step. Amen.",/static/images/picture3.jpg,"[{""text"": ""Genesis 28"", ""url"": ""https://www.wordproject.org/bibles/kj/01/28.htm""}, {""text"": ""Genesis 29"", ""url"": ""https://www.wordproject.org/bibles/kj/01/29.htm""}, {""text"": ""Matthew 13:1-29"", ""url"": ""https://www.wordproject.org/bibles/kj/40/13.htm""}, {""text"": ""Psalm 10"", ""url"": ""https://www.wordproject.org/bibles/kj/19/10.htm""}]"
2026-01-17,Discover Your Destiny,17 January : Kingdom Influencers,"Genesis 30, Matthew 13:30-58, Psalms 11-12","We all have the power to impact the world by applying Kingdom principles and values in our everyday environment. Jesus' parables reveal how the Kingdom of God transforms the world. It may begin like a mustard seed. Though it is small and hidden, it is destined to grow. It moves like yeast in dough, quietly working from within until everything is transformed.

Kingdom influence doesn 't always come through grand stages or loud voices. Small acts of obedience that grow steadily can bring great impact.

Every prayer whispered, every act of kindness, every word of truth is a seed God can grow into something far greater than you can see. How can you become an influencer for Jesus today?","Lord Jesus, thank You for entrusting me with Your Kingdom work. Teach me to value small beginnings and to serve faithfully even when no one notices. Use my small seed for Your glory. Amen.",/static/images/picture3.jpg,"[{""text"": ""Genesis 30"", ""url"": ""https://www.wordproject.org/bibles/kj/01/30.htm""}, {""text"": ""Matthew 13:30-58"", ""url"": ""https://www.wordproject.org/bibles/kj/40/13.htm""}, {""text"": ""Psalms 11"", ""url"": ""https://www.wordproject.org/bibles/kj/19/11.htm""}, {""text"": ""Psalms 12"", ""url"": ""https://www.wordproject.org/bibles/kj/19/12.htm""}]"
2026-01-18,Discover Your Destiny,18 January : Courage To Walk On Water,"Genesis 31, Matthew 14, Psalm 13","When the storm raged and the winds howled, Jesus appeared, walking on water. Peter didn 't analyse the waves or wait for the storm to calm down when Jesus told him to go to Him. He stepped out at the sound of His Saviour's voice.

That is the courage to obey. To trust the Saviour's voice and to take a step even when the path ahead feels uncertain. But when Peter shifted his focus from Jesus to the storm, fear took over and he began to sink.

The courage to obey is about being focused, not fearless. Faith keeps its eyes on Christ, not the storm. Was there ever a time you sensed Jesus inviting you to trust Him in a new or uncertain area of life?","Heavenly Father, help me to hear Your voice above the noise when the storms of life surround me. Give me the courage to step out in faith, trusting Your call more than my fears. When I start to sink, lift me by Your hand and steady my heart again. Amen.",/static/images/picture3.jpg,"[{""text"": ""Genesis 31"", ""url"": ""https://www.wordproject.org/bibles/kj/01/31.htm""}, {""text"": ""Matthew 14"", ""url"": ""https://www.wordproject.org/bibles/kj/40/14.htm""}, {""text"": ""Psalm 13"", ""url"": ""https://www.wordproject.org/bibles/kj/19/13.htm""}]"
2026-01-19,Discover Your Destiny,19 January : Daily Surrender To His Call,"Genesis 32-33, Matthew 15, Proverbs 3:11-20","Are you wrestling with God over a specific issue? Perhaps it is an area that you find it difficult to let go of. The way to fight off the Enemy 's attacks is to surrender fully to the Lord.

Wounded and renamed 'Israel', Jacob discover ed that destiny is not achieved by manipulation but by surrender. When we surrender our control, God gives us His plan. When we surrender our pride, God gives us His identity. When we surrender our timing, God gives us His fruitfulness.

In God's Kingdom, surrender is not weakness. It is the pathway to destiny. Daily surrender is not giving up. It is the act of giving over your will to the Lord. God's strength takes over when our striving ends.","Lord Jesus, I bring before You the struggles I face and the things I find hard to let go of. Teach me to release my fears, my pride and my control. Like Jacob, change my heart and give me a new identity in You. Amen.",/static/images/picture3.jpg,"[{""text"": ""Genesis 32"", ""url"": ""https://www.wordproject.org/bibles/kj/01/32.htm""}, {""text"": ""Genesis 33"", ""url"": ""https://www.wordproject.org/bibles/kj/01/33.htm""}, {""text"": ""Matthew 15"", ""url"": ""https://www.wordproject.org/bibles/kj/40/15.htm""}, {""text"": ""Proverbs 3:11-20"", ""url"": ""https://www.wordproject.org/bibles/kj/20/3.htm""}]"
2026-01-20,Discover Your Destiny,20 January : Rising Above Pain,"Genesis 34-35, Matthew 16, Proverbs 3:21-35","Life involves pain. Sometimes, it feels like trials are derailing us from our calling and purpose. Take heart, God never wastes a detour. In God's story, pain is never the end. It can become your turning point. God's voice often comes amid the struggles.

Suffering became the doorway for Jacob to hear God's call afresh. In our lowest moments, when our hearts are most tender, God's whisper can finally be heard. Rising above pain is not to escape it. It is allowing God to transform you.

Every pain surrendered becomes purpose discovered. Every tear becomes a testimony. Every breaking becomes a deeper walk with God. We cannot fully walk in our divine calling until God heals, purifies and refines us through our pain. Affliction may be inevitable, but it cannot steal our calling if we surrender it into God's hands.","Heavenly Father, thank You that my pain is not wasted in Your hands. Transform my suffering into praise and my tears into testimony. I surrender my wounds to You. Turn them into worship unto You. Amen.",/static/images/picture3.jpg,"[{""text"": ""Genesis 34"", ""url"": ""https://www.wordproject.org/bibles/kj/01/34.htm""}, {""text"": ""Genesis 35"", ""url"": ""https://www.wordproject.org/bibles/kj/01/35.htm""}, {""text"": ""Matthew 16"", ""url"": ""https://www.wordproject.org/bibles/kj/40/16.htm""}, {""text"": ""Proverbs 3:21-35"", ""url"": ""https://www.wordproject.org/bibles/kj/20/3.htm""}]"
2026-01-21,Discover Your Destiny,21 January : Get Wisdom At Any Cost,"Genesis 36, Matthew 17, Proverbs 4:1-9","Proverbs 4:1-9 beautifully captures a father 's heartfelt plea to his children to pursue wisdom above all else. He's saying wisdom must take first place in all our pursuits. People chase many things: success, power, approval, influence, security, comfort and so on. But Solomon teaches that without wisdom, these things can become traps rather than blessings.

This God-given wisdom is different from worldly wisdom. It is not just a set of moral instructions. Godly wisdom serves as a compass. It helps us discern God's will, provides spiritual understanding, and guides us in making wise choices. Wisdom helps us to steward what we have with discernment.

Wisdom from God is more valuable than gold. This may sound foolish to the world, but the path of lasting peace and joy can only be found in Christ.","Heavenly Father, teach me to value wisdom above all else. Lead me in the path of understanding. May Your wisdom shape my choices, guard my steps and guide me in the path You have prepared for me. Amen.",/static/images/picture3.jpg,"[{""text"": ""Genesis 36"", ""url"": ""https://www.wordproject.org/bibles/kj/01/36.htm""}, {""text"": ""Matthew 17"", ""url"": ""https://www.wordproject.org/bibles/kj/40/17.htm""}, {""text"": ""Proverbs 4:1-9"", ""url"": ""https://www.wordproject.org/bibles/kj/20/4.htm""}]"
2026-01-22,Be A Blessing,22 January : Dreams From Heaven,"Genesis 37-38, Matthew 18, Proverbs 4:10-19","Have you ever received a dream from God? For Joseph, the dream he received was meant to prepare him for his future role of saving his family's lives and fulfilling God's covenant promise. In the same way, the dreams God places in our hearts reveal His intentions for us.

So, what do you do with these divine dreams? For starters, know that God desires to shape your character as you journey with Him. Just as Joseph had to endure many challen ges along the way, you must be ready to face all the obstacles that will stand in your way.

Every disappointment is an opportunity to grow in Christ. Every distraction is a test of your faith. And every detour is a chance to grow in humility and patience. Ultimately, God's dream in you will be accomplished through faith. Today, take the next step in the dream journey!","Lord Jesus, thank You that nothing in my life is wasted when I abide in You. Redeem my trials as You did for Joseph and help me to trust that You are greater than every trouble. May the dreams You have given me be fulfilled in my life. Amen.",/static/images/picture4.jpg,"[{""text"": ""Genesis 37"", ""url"": ""https://www.wordproject.org/bibles/kj/01/37.htm""}, {""text"": ""Genesis 38"", ""url"": ""https://www.wordproject.org/bibles/kj/01/38.htm""}, {""text"": ""Matthew 18"", ""url"": ""https://www.wordproject.org/bibles/kj/40/18.htm""}, {""text"": ""Proverbs 4:10-19"", ""url"": ""https://www.wordproject.org/bibles/kj/20/4.htm""}]"
2026-01-23,Be A Blessing,23 January : Faithful To Fruitful,"Genesis 39-40, Matthew 19, Proverbs 4:20-27","Joseph is like the 'seed' that fell on good soil in the Parable of the Sower. He chose to be a blessing in every season, whether in positions of honour or places of hardship. He was faithf ul in using his God-given gifts to serve others, even when he was falsely accused.

When you are faithful to what the Lord has called you to, eventually you will see fruitfulness in your life. This fruit then becomes a providential source of blessing to you and those around you!

Be patient in the labour of your school, work or ministry. While you might face difficulties, know that God is with you to see you through. At the right time, you will reap the rewards of God's blessings!","Lord Jesus, thank You for calling me to be a blessing. Teach me to remain steadfast like Joseph, to use my gifts in service to others. Help me to trust that in due season You will bring forth fruit. May my life glorify You in every circumstance. Amen.",/static/images/picture4.jpg,"[{""text"": ""Genesis 39"", ""url"": ""https://www.wordproject.org/bibles/kj/01/39.htm""}, {""text"": ""Genesis 40"", ""url"": ""https://www.wordproject.org/bibles/kj/01/40.htm""}, {""text"": ""Matthew 19"", ""url"": ""https://www.wordproject.org/bibles/kj/40/19.htm""}, {""text"": ""Proverbs 4:20-27"", ""url"": ""https://www.wordproject.org/bibles/kj/20/4.htm""}]"
2026-01-24,Be A Blessing,24 January : Contentment Over Comparison,"Genesis 41-42, Matthew 20, Proverbs 5:1-12","It is difficult to bless others when we have a spirit of comparison. When we compare, we tend to be only willing to bless those we consider less fortunate than ourselves. In Matthew 20, every worker in the vineyard received the same generous wage, no matter when they started.

Christ offers the gospel to both the rich and the poor. The wage of believing in Him is eternal life. However, problems arose when some workers compared their portion to that of others. They had forgotten that they had already received more than they deserved.

Comparison can make us overly focused on what others have and what we lack, rather than being grateful for all the incredible blessings we already possess. Today, rejoice in all that God has given you!","Heavenly Father, thank You for every blessing You have given me. Help me not to compare my life to others. Fill my heart with gratitude and trust. Guard my heart with contentment. Amen.",/static/images/picture4.jpg,"[{""text"": ""Genesis 41"", ""url"": ""https://www.wordproject.org/bibles/kj/01/41.htm""}, {""text"": ""Genesis 42"", ""url"": ""https://www.wordproject.org/bibles/kj/01/42.htm""}, {""text"": ""Matthew 20"", ""url"": ""https://www.wordproject.org/bibles/kj/40/20.htm""}, {""text"": ""Proverbs 5:1-12"", ""url"": ""https://www.wordproject.org/bibles/kj/20/5.htm""}]"
